"","x"
"192","2"
"193","2"
"194","2"
"195","2"
"196","2"
"197","3"
"198","2"
"199","2"
"200","2"
"201","2"
"202","2"
"203","2"
"204","2"
"205","3"
"206","3"
"207","3"
"208","2"
"209","2"
"210","2"
"211","2"
"212","2"
"213","2"
"214","2"
"215","2"
"216","2"
"217","2"
"218","3"
"219","2"
"220","3"
"221","3"
"222","3"
"223","3"
"224","2"
"225","2"
"226","2"
"227","2"
"228","2"
"229","2"
"230","3"
"231","2"
"232","2"
"233","2"
"234","3"
"235","3"
"236","3"
"237","1"
"238","1"
"239","2"
"240","3"
"241","2"
"242","3"
"243","3"
"244","3"
"245","3"
"246","2"
"247","3"
"248","2"
"249","2"
"250","3"
"251","3"
"252","3"
"253","2"
"254","3"
"255","2"
"256","2"
"257","2"
"258","2"
"259","2"
"260","2"
"261","2"
"262","2"
"263","2"
"264","2"
"265","2"
"266","2"
"267","2"
"268","2"
"269","2"
"270","2"
"271","2"
"272","2"
"273","2"
"274","2"
"275","2"
"276","2"
"277","2"
"278","2"
"279","2"
"280","2"
"281","2"
"282","2"
"283","3"
"284","2"
"285","2"
"286","2"
"287","2"
"288","2"
"289","2"
"290","2"
"291","2"
"292","2"
"293","2"
"294","2"
"295","2"
"296","3"
"297","2"
"298","3"
"299","3"
"300","3"
"301","3"
"302","2"
"303","3"
"304","2"
"305","2"
"306","2"
"307","2"
"308","2"
"309","2"
"310","2"
"311","2"
"312","3"
"313","3"
"314","3"
"315","1"
"316","1"
"317","2"
"318","3"
"319","2"
"320","3"
"321","3"
"322","2"
"323","3"
"324","2"
"325","3"
"326","2"
"327","2"
"328","3"
"329","3"
"330","3"
"331","2"
"332","3"
"333","2"
"334","2"
"335","2"
"336","2"
"337","2"
"338","2"
"339","2"
"340","2"
"341","2"
"342","2"
"343","2"
"344","2"
"345","2"
"346","2"
"347","2"
"348","2"
"349","2"
"350","2"
"351","2"
"352","2"
"353","2"
"354","2"
"355","2"
"356","2"
"357","2"
"358","2"
"359","2"
"360","2"
"361","3"
"362","3"
"363","3"
"364","2"
"365","2"
"366","2"
"367","2"
"368","2"
"369","2"
"370","2"
"371","2"
"372","2"
"373","2"
"374","3"
"375","2"
"376","3"
"377","3"
"378","3"
"379","3"
"380","2"
"381","3"
"382","2"
"383","2"
"384","2"
"385","2"
"386","3"
"387","2"
"388","2"
"389","2"
"390","3"
"391","2"
"392","2"
"393","2"
"394","2"
"395","2"
"396","3"
"397","2"
"398","3"
"399","3"
"400","3"
"401","2"
"402","3"
"403","3"
"404","2"
"405","2"
"406","3"
"407","3"
"408","3"
"409","2"
"410","3"
"411","2"
"412","2"
"413","2"
"414","2"
"415","2"
"416","2"
"417","2"
"418","2"
"419","2"
"420","2"
"421","2"
"422","2"
"423","2"
"424","2"
"425","2"
"426","2"
"427","2"
"428","2"
"429","2"
"430","2"
"431","2"
"432","2"
"433","2"
"434","2"
"435","2"
"436","2"
"437","2"
"438","2"
"439","3"
"440","3"
"441","3"
"442","2"
"443","2"
"444","2"
"445","2"
"446","2"
"447","2"
"448","2"
"449","2"
"450","2"
"451","2"
"452","3"
"453","2"
"454","2"
"455","3"
"456","3"
"457","3"
"458","3"
"459","3"
"460","2"
"461","2"
"462","2"
"463","2"
"464","2"
"465","2"
"466","2"
"467","2"
"468","3"
"469","2"
"470","2"
"471","3"
"472","3"
"473","3"
"474","3"
"475","2"
"476","3"
"477","3"
"478","3"
"479","3"
"480","2"
"481","3"
"482","2"
"483","3"
"484","3"
"485","3"
"486","3"
"487","2"
"488","3"
"489","2"
"490","2"
"491","2"
"492","2"
"493","2"
"494","2"
"495","2"
"496","2"
"497","2"
"498","2"
"499","2"
"500","2"
"501","2"
"502","2"
"503","2"
"504","2"
"505","2"
"506","2"
"507","2"
"508","2"
"509","2"
"510","2"
"511","2"
"512","2"
"513","2"
"514","2"
"515","2"
"516","2"
"517","3"
"518","3"
"519","3"
"520","2"
"521","2"
"522","2"
"523","2"
"524","2"
"525","2"
"526","2"
"527","2"
"528","2"
"529","2"
"530","3"
"531","3"
"532","3"
"533","3"
"534","3"
"535","3"
"536","3"
"537","3"
"538","2"
"539","2"
"540","2"
"541","2"
"542","2"
"543","2"
"544","2"
"545","2"
"546","3"
"547","2"
"548","2"
"549","2"
"550","2"
"551","2"
"552","2"
"553","2"
"554","2"
"555","3"
"556","3"
"557","2"
"558","3"
"559","3"
"560","3"
"561","3"
"562","2"
"563","3"
"564","3"
"565","2"
"566","3"
"567","2"
"568","2"
"569","2"
"570","2"
"571","2"
"572","2"
"573","2"
"574","2"
"575","2"
"576","2"
"577","2"
"578","2"
"579","2"
"580","2"
"581","2"
"582","2"
"583","2"
"584","2"
"585","2"
"586","2"
"587","2"
"588","2"
"589","2"
"590","2"
"591","2"
"592","2"
"593","2"
"594","2"
"595","3"
"596","3"
"597","3"
"598","2"
"599","2"
"600","2"
"601","2"
"602","2"
"603","2"
"604","2"
"605","2"
"606","2"
"607","2"
"608","2"
"609","2"
"610","2"
"611","3"
"612","3"
"613","3"
"614","2"
"615","2"
"616","2"
"617","2"
"618","2"
"619","2"
"620","2"
"621","2"
"622","2"
"623","2"
"624","3"
"625","2"
"626","2"
"627","3"
"628","3"
"629","3"
"630","3"
"631","3"
"632","2"
"633","3"
"634","3"
"635","3"
"636","2"
"637","1"
"638","2"
"639","2"
"640","3"
"641","3"
"642","3"
"643","2"
"644","3"
"645","2"
"646","2"
"647","2"
"648","2"
"649","2"
"650","2"
"651","2"
"652","2"
"653","2"
"654","2"
"655","2"
"656","2"
"657","2"
"658","2"
"659","2"
"660","2"
"661","2"
"662","2"
"663","2"
"664","2"
"665","2"
"666","2"
"667","2"
"668","2"
"669","2"
"670","2"
"671","2"
"672","2"
"673","3"
"674","3"
"675","3"
"676","2"
"677","2"
"678","2"
"679","2"
"680","2"
"681","2"
"682","2"
"683","2"
"684","2"
"685","2"
"686","3"
"687","2"
"688","3"
"689","3"
"690","3"
"691","3"
"692","3"
"693","3"
"694","2"
"695","2"
"696","2"
"697","2"
"698","2"
"699","2"
"700","3"
"701","2"
"702","3"
"703","3"
"704","2"
"705","3"
"706","3"
"707","3"
"708","3"
"709","3"
"710","3"
"711","3"
"712","3"
"713","3"
"714","3"
"715","3"
"716","3"
"717","3"
"718","3"
"719","1"
"720","3"
"721","2"
"722","1"
"723","2"
"724","2"
"725","2"
"726","2"
"727","2"
"728","2"
"729","2"
"730","2"
"731","2"
"732","2"
"733","2"
"734","2"
"735","2"
"736","2"
"737","2"
"738","2"
"739","2"
"740","2"
"741","2"
"742","2"
"743","2"
"744","2"
"745","2"
"746","2"
"747","2"
"748","2"
"749","2"
"750","2"
"751","3"
"752","3"
"753","1"
"754","2"
"755","2"
"756","2"
"757","2"
"758","2"
"759","2"
"760","2"
"761","2"
"762","2"
"763","2"
"764","3"
"765","3"
"766","3"
"767","1"
"768","1"
"769","1"
"770","3"
"771","3"
"772","2"
"773","2"
"774","2"
"775","2"
"776","2"
"777","2"
"778","3"
"779","2"
"780","3"
"781","2"
"782","2"
"783","2"
"784","3"
"785","2"
"786","3"
"787","3"
"788","3"
"789","3"
"790","3"
"791","2"
"792","3"
"793","3"
"794","2"
"795","3"
"796","3"
"797","1"
"798","3"
"799","2"
"800","3"
"801","2"
"802","2"
"803","2"
"804","2"
"805","2"
"806","2"
"807","2"
"808","2"
"809","2"
"810","2"
"811","2"
"812","2"
"813","2"
"814","2"
"815","2"
"816","2"
"817","2"
"818","2"
"819","2"
"820","2"
"821","2"
"822","2"
"823","2"
"824","2"
"825","2"
"826","2"
"827","2"
"828","2"
"829","3"
"830","3"
"831","3"
"832","2"
"833","2"
"834","2"
"835","2"
"836","2"
"837","2"
"838","2"
"839","2"
"840","2"
"841","2"
"842","3"
"843","3"
"844","3"
"845","1"
"846","3"
"847","3"
"848","3"
"849","3"
"850","3"
"851","2"
"852","2"
"853","2"
"854","2"
"855","2"
"856","3"
"857","2"
"858","3"
"859","3"
"860","3"
"861","3"
"862","3"
"863","3"
"864","2"
"865","3"
"866","2"
"867","3"
"868","3"
"869","2"
"870","2"
"871","3"
"872","2"
"873","2"
"874","3"
"875","2"
"876","2"
"877","2"
"878","2"
"879","2"
"880","2"
"881","2"
"882","2"
"883","2"
"884","2"
"885","2"
"886","2"
"887","2"
"888","2"
"889","2"
"890","2"
"891","2"
"892","2"
"893","2"
"894","2"
"895","2"
"896","2"
"897","2"
"898","2"
"899","2"
"900","2"
"901","2"
"902","2"
"903","2"
"904","2"
"905","2"
"906","2"
"907","2"
"908","2"
"909","2"
"910","2"
"911","2"
"912","2"
"913","2"
"914","2"
"915","2"
"916","2"
"917","2"
"918","2"
"919","2"
"920","3"
"921","2"
"922","3"
"923","2"
"924","2"
"925","3"
"926","2"
"927","3"
"928","2"
"929","2"
"930","2"
"931","2"
"932","2"
"933","2"
"934","2"
"935","2"
"936","2"
"937","2"
"938","2"
"939","2"
"940","2"
"941","2"
"942","3"
"943","2"
"944","3"
"945","2"
"946","3"
"947","3"
"948","2"
"949","3"
"950","2"
"951","3"
"952","2"
"953","3"
"954","3"
"955","2"
"956","3"
"957","2"
"958","2"
"959","2"
"960","2"
"961","2"
"962","2"
"963","2"
"964","2"
"965","2"
"966","2"
"967","2"
"968","2"
"969","2"
"970","2"
"971","2"
"972","2"
"973","2"
"974","2"
"975","2"
"976","2"
"977","2"
"978","2"
"979","2"
"980","2"
"981","2"
"982","2"
"983","2"
"984","2"
"985","3"
"986","2"
"987","3"
"988","2"
"989","2"
"990","2"
"991","2"
"992","2"
"993","2"
"994","2"
"995","2"
"996","2"
"997","2"
"998","2"
"999","2"
"1000","2"
"1001","3"
"1002","3"
"1003","3"
"1004","3"
"1005","3"
"1006","2"
"1007","2"
"1008","2"
"1009","2"
"1010","2"
"1011","2"
"1012","2"
"1013","2"
"1014","3"
"1015","3"
"1016","3"
"1017","3"
"1018","3"
"1019","3"
"1020","3"
"1021","3"
"1022","3"
"1023","1"
"1024","3"
"1025","3"
"1026","3"
"1027","3"
"1028","2"
"1029","3"
"1030","3"
"1031","3"
"1032","3"
"1033","2"
"1034","1"
"1035","2"
"1036","2"
"1037","2"
"1038","2"
"1039","2"
"1040","2"
"1041","2"
"1042","2"
"1043","2"
"1044","2"
"1045","2"
"1046","2"
"1047","2"
"1048","2"
"1049","2"
"1050","2"
"1051","2"
"1052","2"
"1053","2"
"1054","2"
"1055","2"
"1056","2"
"1057","2"
"1058","2"
"1059","2"
"1060","2"
"1061","2"
"1062","3"
"1063","3"
"1064","3"
"1065","3"
"1066","2"
"1067","2"
"1068","2"
"1069","2"
"1070","2"
"1071","2"
"1072","2"
"1073","2"
"1074","2"
"1075","2"
"1076","3"
"1077","3"
"1078","3"
"1079","3"
"1080","3"
"1081","3"
"1082","3"
"1083","3"
"1084","2"
"1085","2"
"1086","2"
"1087","2"
"1088","2"
"1089","3"
"1090","3"
"1091","2"
"1092","3"
"1093","2"
"1094","2"
"1095","2"
"1096","2"
"1097","2"
"1098","2"
"1099","2"
"1100","3"
"1101","2"
"1102","3"
"1103","2"
"1104","2"
"1105","2"
"1106","2"
"1107","2"
"1108","2"
"1109","3"
"1110","2"
"1111","2"
"1112","3"
"1113","3"
"1114","2"
"1115","2"
"1116","2"
"1117","2"
"1118","2"
"1119","2"
"1120","2"
"1121","2"
"1122","2"
"1123","2"
"1124","2"
"1125","3"
"1126","2"
"1127","2"
"1128","2"
"1129","3"
"1130","2"
"1131","2"
"1132","2"
"1133","2"
"1134","2"
"1135","2"
"1136","2"
"1137","3"
"1138","3"
"1139","3"
"1140","2"
"1141","2"
"1142","3"
"1143","3"
"1144","2"
"1145","3"
"1146","3"
"1147","2"
"1148","2"
"1149","3"
"1150","3"
"1151","3"
"1152","3"
"1153","3"
"1154","2"
"1155","2"
"1156","2"
"1157","3"
"1158","3"
"1159","3"
"1160","3"
"1161","3"
"1162","2"
"1163","2"
"1164","2"
"1165","2"
"1166","3"
"1167","2"
"1168","2"
"1169","2"
"1170","2"
"1171","2"
"1172","2"
"1173","3"
"1174","2"
"1175","2"
"1176","2"
"1177","3"
"1178","3"
"1179","2"
"1180","3"
"1181","3"
"1182","2"
"1183","3"
"1184","3"
"1185","2"
"1186","2"
"1187","3"
"1188","2"
"1189","2"
"1190","3"
"1191","2"
"1192","2"
"1193","2"
"1194","2"
"1195","2"
"1196","2"
"1197","2"
"1198","2"
"1199","2"
"1200","2"
"1201","2"
"1202","2"
"1203","2"
"1204","2"
"1205","2"
"1206","2"
"1207","2"
"1208","2"
"1209","2"
"1210","2"
"1211","2"
"1212","2"
"1213","2"
"1214","2"
"1215","2"
"1216","2"
"1217","2"
"1218","2"
"1219","3"
"1220","2"
"1221","3"
"1222","2"
"1223","2"
"1224","2"
"1225","2"
"1226","2"
"1227","2"
"1228","2"
"1229","2"
"1230","2"
"1231","2"
"1232","3"
"1233","2"
"1234","3"
"1235","3"
"1236","3"
"1237","3"
"1238","2"
"1239","3"
"1240","2"
"1241","2"
"1242","2"
"1243","2"
"1244","2"
"1245","2"
"1246","2"
"1247","2"
"1248","3"
"1249","3"
"1250","3"
"1251","3"
"1252","3"
"1253","3"
"1254","3"
"1255","3"
"1256","2"
"1257","3"
"1258","3"
"1259","3"
"1260","3"
"1261","2"
"1262","3"
"1263","2"
"1264","2"
"1265","3"
"1266","3"
"1267","2"
"1268","3"
"1269","2"
"1270","2"
"1271","2"
"1272","2"
"1273","2"
"1274","2"
"1275","2"
"1276","2"
"1277","2"
"1278","2"
"1279","2"
"1280","2"
"1281","2"
"1282","2"
"1283","2"
"1284","2"
"1285","2"
"1286","2"
"1287","2"
"1288","2"
"1289","2"
"1290","2"
"1291","2"
"1292","2"
"1293","2"
"1294","2"
"1295","2"
"1296","2"
"1297","3"
"1298","2"
"1299","3"
"1300","2"
"1301","2"
"1302","2"
"1303","2"
"1304","2"
"1305","2"
"1306","2"
"1307","2"
"1308","2"
"1309","2"
"1310","3"
"1311","2"
"1312","3"
"1313","3"
"1314","3"
"1315","3"
"1316","2"
"1317","3"
"1318","2"
"1319","2"
"1320","2"
"1321","2"
"1322","2"
"1323","2"
"1324","2"
"1325","2"
"1326","3"
"1327","2"
"1328","2"
"1329","3"
"1330","3"
"1331","3"
"1332","3"
"1333","3"
"1334","3"
"1335","3"
"1336","1"
"1337","1"
"1338","2"
"1339","3"
"1340","3"
"1341","3"
"1342","3"
"1343","3"
"1344","3"
"1345","2"
"1346","1"
"1347","2"
"1348","2"
"1349","2"
"1350","2"
"1351","2"
"1352","2"
"1353","2"
"1354","2"
"1355","2"
"1356","2"
"1357","2"
"1358","2"
"1359","2"
"1360","2"
"1361","2"
"1362","2"
"1363","2"
"1364","2"
"1365","2"
"1366","2"
"1367","2"
"1368","2"
"1369","2"
"1370","2"
"1371","2"
"1372","2"
"1373","2"
"1374","2"
"1375","3"
"1376","3"
"1377","1"
"1378","2"
"1379","2"
"1380","2"
"1381","2"
"1382","2"
"1383","2"
"1384","2"
"1385","2"
"1386","2"
"1387","2"
"1388","3"
"1389","3"
"1390","3"
"1391","1"
"1392","3"
"1393","3"
"1394","3"
"1395","3"
"1396","2"
"1397","2"
"1398","2"
"1399","2"
"1400","2"
"1401","2"
"1402","3"
"1403","2"
"1404","3"
"1405","3"
"1406","3"
"1407","3"
"1408","3"
"1409","3"
"1410","3"
"1411","3"
"1412","3"
"1413","3"
"1414","3"
"1415","3"
"1416","2"
"1417","3"
"1418","3"
"1419","2"
"1420","2"
"1421","3"
"1422","3"
"1423","2"
"1424","3"
"1425","2"
"1426","2"
"1427","2"
"1428","2"
"1429","2"
"1430","2"
"1431","2"
"1432","2"
"1433","2"
"1434","2"
"1435","2"
"1436","2"
"1437","2"
"1438","2"
"1439","2"
"1440","2"
"1441","2"
"1442","2"
"1443","2"
"1444","2"
"1445","2"
"1446","2"
"1447","2"
"1448","2"
"1449","2"
"1450","2"
"1451","2"
"1452","2"
"1453","3"
"1454","3"
"1455","3"
"1456","2"
"1457","2"
"1458","2"
"1459","2"
"1460","2"
"1461","3"
"1462","3"
"1463","2"
"1464","3"
"1465","3"
"1466","3"
"1467","2"
"1468","3"
"1469","3"
"1470","3"
"1471","3"
"1472","3"
"1473","3"
"1474","2"
"1475","2"
"1476","2"
"1477","2"
"1478","3"
"1479","3"
"1480","2"
"1481","2"
"1482","3"
"1483","2"
"1484","2"
"1485","2"
"1486","2"
"1487","2"
"1488","2"
"1489","2"
"1490","2"
"1491","2"
"1492","2"
"1493","2"
"1494","2"
"1495","2"
"1496","2"
"1497","2"
"1498","2"
"1499","2"
"1500","2"
"1501","2"
"1502","2"
"1503","2"
"1504","2"
"1505","2"
"1506","2"
"1507","2"
"1508","2"
"1509","2"
"1510","2"
"1511","2"
"1512","2"
"1513","2"
"1514","2"
"1515","3"
"1516","2"
"1517","2"
"1518","2"
"1519","3"
"1520","2"
"1521","3"
"1522","2"
"1523","2"
"1524","2"
"1525","2"
"1526","2"
"1527","2"
"1528","2"
"1529","2"
"1530","2"
"1531","2"
"1532","2"
"1533","2"
"1534","2"
"1535","3"
"1536","3"
"1537","3"
"1538","3"
"1539","3"
"1540","3"
"1541","3"
"1542","3"
"1543","3"
"1544","2"
"1545","3"
"1546","2"
"1547","2"
"1548","2"
"1549","2"
"1550","3"
"1551","2"
"1552","2"
"1553","3"
"1554","3"
"1555","3"
"1556","3"
"1557","2"
"1558","2"
"1559","1"
"1560","2"
"1561","2"
"1562","2"
"1563","3"
"1564","3"
"1565","3"
"1566","3"
"1567","3"
"1568","3"
"1569","3"
"1570","1"
"1571","3"
"1572","2"
"1573","3"
"1574","1"
"1575","3"
"1576","3"
"1577","3"
"1578","1"
"1579","3"
"1580","2"
"1581","2"
"1582","2"
"1583","2"
"1584","2"
"1585","2"
"1586","2"
"1587","2"
"1588","2"
"1589","2"
"1590","2"
"1591","2"
"1592","2"
"1593","2"
"1594","2"
"1595","2"
"1596","2"
"1597","2"
"1598","2"
"1599","2"
"1600","2"
"1601","2"
"1602","2"
"1603","2"
"1604","2"
"1605","2"
"1606","2"
"1607","2"
"1608","2"
"1609","3"
"1610","3"
"1611","3"
"1612","2"
"1613","2"
"1614","2"
"1615","2"
"1616","2"
"1617","2"
"1618","2"
"1619","2"
"1620","2"
"1621","2"
"1622","3"
"1623","3"
"1624","3"
"1625","1"
"1626","1"
"1627","1"
"1628","3"
"1629","3"
"1630","2"
"1631","2"
"1632","2"
"1633","2"
"1634","2"
"1635","2"
"1636","3"
"1637","2"
"1638","3"
"1639","2"
"1640","2"
"1641","2"
"1642","2"
"1643","2"
"1644","2"
"1645","2"
"1646","2"
"1647","2"
"1648","2"
"1649","2"
"1650","2"
"1651","2"
"1652","2"
"1653","3"
"1654","2"
"1655","2"
"1656","2"
"1657","2"
"1658","2"
"1659","2"
"1660","2"
"1661","2"
"1662","3"
"1663","3"
"1664","3"
"1665","3"
"1666","3"
"1667","3"
"1668","3"
"1669","3"
"1670","3"
"1671","3"
"1672","3"
"1673","3"
"1674","3"
"1675","3"
"1676","3"
"1677","3"
"1678","3"
"1679","3"
"1680","3"
"1681","3"
"1682","3"
"1683","3"
"1684","3"
"1685","3"
"1686","3"
"1687","2"
"1688","2"
"1689","2"
"1690","3"
"1691","3"
"1692","3"
"1693","3"
"1694","3"
"1695","3"
"1696","3"
"1697","3"
"1698","3"
"1699","3"
"1700","2"
"1701","2"
"1702","2"
"1703","2"
"1704","2"
"1705","2"
"1706","3"
"1707","2"
"1708","2"
"1709","2"
"1710","2"
"1711","2"
"1712","3"
"1713","2"
"1714","2"
"1715","3"
"1716","2"
"1717","2"
"1718","2"
"1719","2"
"1720","2"
"1721","2"
"1722","2"
"1723","2"
"1724","2"
"1725","2"
"1726","2"
"1727","2"
"1728","2"
"1729","2"
"1730","2"
"1731","2"
"1732","2"
"1733","2"
"1734","2"
"1735","2"
"1736","2"
"1737","2"
"1738","2"
"1739","1"
"1740","2"
"1741","2"
"1742","2"
"1743","2"
"1744","2"
"1745","2"
"1746","2"
"1747","2"
"1748","2"
"1749","2"
"1750","2"
"1751","2"
"1752","2"
"1753","2"
"1754","2"
"1755","2"
"1756","2"
"1757","2"
"1758","2"
"1759","2"
"1760","2"
"1761","2"
"1762","2"
"1763","2"
"1764","2"
"1765","2"
"1766","2"
"1767","2"
"1768","2"
"1769","2"
"1770","2"
"1771","2"
"1772","2"
"1773","2"
"1774","2"
"1775","2"
"1776","2"
"1777","2"
"1778","2"
"1779","2"
"1780","2"
"1781","2"
"1782","2"
"1783","2"
"1784","2"
"1785","3"
"1786","2"
"1787","2"
"1788","2"
"1789","2"
"1790","2"
"1791","2"
"1792","2"
"1793","2"
"1794","2"
"1795","2"
"1796","2"
"1797","2"
"1798","2"
"1799","2"
"1800","2"
"1801","2"
"1802","2"
"1803","2"
"1804","2"
"1805","2"
"1806","2"
"1807","2"
"1808","2"
"1809","2"
"1810","2"
"1811","2"
"1812","2"
"1813","2"
"1814","2"
"1815","2"
"1816","2"
"1817","1"
"1818","2"
"1819","2"
"1820","2"
"1821","2"
"1822","2"
"1823","2"
"1824","2"
"1825","2"
"1826","2"
"1827","2"
"1828","2"
"1829","2"
"1830","2"
"1831","2"
"1832","2"
"1833","2"
"1834","2"
"1835","2"
"1836","2"
"1837","2"
"1838","2"
"1839","2"
"1840","2"
"1841","2"
"1842","2"
"1843","2"
"1844","2"
"1845","2"
"1846","2"
"1847","2"
"1848","2"
"1849","2"
"1850","2"
"1851","2"
"1852","2"
"1853","2"
"1854","2"
"1855","2"
"1856","2"
"1857","2"
"1858","2"
"1859","2"
"1860","2"
"1861","2"
"1862","2"
"1863","2"
"1864","2"
"1865","2"
"1866","2"
"1867","2"
"1868","2"
"1869","2"
"1870","2"
"1871","2"
"1872","2"
"1873","2"
"1874","2"
"1875","2"
"1876","2"
"1877","2"
"1878","2"
"1879","2"
"1880","2"
"1881","2"
"1882","2"
"1883","2"
"1884","2"
"1885","2"
"1886","2"
"1887","2"
"1888","2"
"1889","2"
"1890","2"
"1891","2"
"1892","2"
"1893","2"
"1894","3"
"1895","2"
"1896","2"
"1897","1"
"1898","1"
"1899","1"
"1900","1"
"1901","1"
"1902","1"
"1903","1"
"1904","1"
"1905","1"
"1906","1"
"1907","1"
"1908","1"
"1909","1"
"1910","1"
"1911","1"
"1912","1"
"1913","1"
"1914","1"
"1915","1"
"1916","1"
"1917","1"
"1918","1"
"1919","1"
"1920","1"
"1921","2"
"1922","2"
"1923","2"
"1924","1"
"1925","1"
"1926","1"
"1927","1"
"1928","1"
"1929","1"
"1930","1"
"1931","1"
"1932","1"
"1933","1"
"1934","2"
"1935","2"
"1936","2"
"1937","2"
"1938","2"
"1939","2"
"1940","2"
"1941","2"
"1942","2"
"1943","2"
"1944","2"
"1945","2"
"1946","1"
"1947","2"
"1948","2"
"1949","2"
"1950","2"
"1951","2"
"1952","2"
"1953","2"
"1954","2"
"1955","2"
"1956","2"
"1957","2"
"1958","2"
"1959","2"
"1960","2"
"1961","2"
"1962","2"
"1963","2"
"1964","2"
"1965","2"
"1966","2"
"1967","2"
"1968","2"
"1969","2"
"1970","2"
"1971","2"
"1972","3"
"1973","2"
"1974","2"
"1975","1"
"1976","1"
"1977","1"
"1978","1"
"1979","1"
"1980","1"
"1981","1"
"1982","1"
"1983","1"
"1984","1"
"1985","1"
"1986","1"
"1987","1"
"1988","1"
"1989","1"
"1990","1"
"1991","1"
"1992","1"
"1993","1"
"1994","1"
"1995","1"
"1996","1"
"1997","1"
"1998","1"
"1999","2"
"2000","2"
"2001","2"
"2002","1"
"2003","1"
"2004","1"
"2005","1"
"2006","1"
"2007","1"
"2008","1"
"2009","1"
"2010","1"
"2011","1"
"2012","2"
"2013","2"
"2014","2"
"2015","2"
"2016","2"
"2017","2"
"2018","2"
"2019","2"
"2020","2"
"2021","2"
"2022","2"
"2023","2"
"2024","1"
"2025","2"
"2026","2"
"2027","2"
"2028","2"
"2029","2"
"2030","2"
"2031","2"
"2032","2"
"2033","2"
"2034","2"
"2035","2"
"2036","2"
"2037","2"
"2038","2"
"2039","2"
"2040","2"
"2041","2"
"2042","2"
"2043","2"
"2044","2"
"2045","2"
"2046","2"
"2047","2"
"2048","2"
"2049","2"
"2050","3"
"2051","2"
"2052","2"
"2053","1"
"2054","1"
"2055","1"
"2056","1"
"2057","1"
"2058","1"
"2059","1"
"2060","1"
"2061","1"
"2062","1"
"2063","1"
"2064","1"
"2065","1"
"2066","1"
"2067","1"
"2068","1"
"2069","1"
"2070","1"
"2071","1"
"2072","1"
"2073","1"
"2074","1"
"2075","1"
"2076","1"
"2077","2"
"2078","2"
"2079","2"
"2080","1"
"2081","1"
"2082","1"
"2083","1"
"2084","1"
"2085","1"
"2086","1"
"2087","1"
"2088","1"
"2089","1"
"2090","2"
"2091","2"
"2092","2"
"2093","2"
"2094","2"
"2095","2"
"2096","2"
"2097","2"
"2098","2"
"2099","2"
"2100","2"
"2101","2"
"2102","1"
"2103","2"
"2104","2"
"2105","2"
"2106","2"
"2107","2"
"2108","2"
"2109","2"
"2110","2"
"2111","2"
"2112","2"
"2113","2"
"2114","2"
"2115","2"
"2116","2"
"2117","2"
"2118","2"
"2119","2"
"2120","2"
"2121","2"
"2122","2"
"2123","2"
"2124","2"
"2125","2"
"2126","2"
"2127","2"
"2128","3"
"2129","2"
"2130","2"
"2131","1"
"2132","1"
"2133","1"
"2134","1"
"2135","1"
"2136","1"
"2137","1"
"2138","1"
"2139","1"
"2140","1"
"2141","1"
